Zip,City,State,Latitude,Longitude
28261,Charlotte,NC,35.26002,-80.804151
28219,Charlotte,NC,35.26002,-80.804151
28260,Charlotte,NC,35.26002,-80.804151
28229,Charlotte,NC,35.26002,-80.804151
28213,Charlotte,NC,35.280464,-80.75678
28269,Charlotte,NC,35.329235,-80.80486
28243,Charlotte,NC,35.26002,-80.804151
28234,Charlotte,NC,35.26002,-80.804151
28203,Charlotte,NC,35.208992,-80.85539
28283,Charlotte,NC,35.26002,-80.804151
28220,Charlotte,NC,35.26002,-80.804151
28218,Charlotte,NC,35.26002,-80.804151
28277,Charlotte,NC,35.054546,-80.81792
28290,Charlotte,NC,35.26002,-80.804151
28206,Charlotte,NC,35.248292,-80.82748
28282,Charlotte,NC,35.224242,-80.844743
28256,Charlotte,NC,35.26002,-80.804151
28205,Charlotte,NC,35.22240,-80.79221
28207,Charlotte,NC,35.197643,-80.82752
28286,Charlotte,NC,35.26002,-80.804151
28262,Charlotte,NC,35.321279,-80.7405
28240,Charlotte,NC,35.26002,-80.804151
28237,Charlotte,NC,35.26002,-80.804151
28280,Charlotte,NC,35.26002,-80.804151
28209,Charlotte,NC,35.178543,-80.85375
28285,Charlotte,NC,35.26002,-80.804151
28275,Charlotte,NC,35.26002,-80.804151
28235,Charlotte,NC,35.26002,-80.804151
28210,Charlotte,NC,35.13451,-80.85632
28250,Charlotte,NC,35.26002,-80.804151
28242,Charlotte,NC,35.26002,-80.804151
28246,Charlotte,NC,35.227542,-80.842543
28232,Charlotte,NC,35.26002,-80.804151
28202,Charlotte,NC,35.227192,-80.84419
28255,Charlotte,NC,35.26002,-80.804151
28221,Charlotte,NC,35.26002,-80.804151
28208,Charlotte,NC,35.235791,-80.89295
28223,Charlotte,NC,35.305552,-80.73303
28270,Charlotte,NC,35.113906,-80.7613
28215,Charlotte,NC,35.244468,-80.72164
28228,Charlotte,NC,35.26002,-80.804151
28227,Charlotte,NC,35.192919,-80.66822
28217,Charlotte,NC,35.172319,-80.89731
28214,Charlotte,NC,35.276639,-80.96111
28204,Charlotte,NC,35.214693,-80.82665
28278,Charlotte,NC,35.119012,-81.02213
28287,Charlotte,NC,35.26002,-80.804151
28296,Charlotte,NC,35.225242,-80.845843
28266,Charlotte,NC,35.284459,-80.858155
28231,Charlotte,NC,35.26002,-80.804151
28226,Charlotte,NC,35.107804,-80.82139
28230,Charlotte,NC,35.26002,-80.804151
28274,Charlotte,NC,35.187943,-80.831693
28273,Charlotte,NC,35.124032,-80.93954
28258,Charlotte,NC,35.26002,-80.804151
28222,Charlotte,NC,35.26002,-80.804151
28233,Charlotte,NC,35.489411,-80.825368
28225,Charlotte,NC,35.26002,-80.804151
28297,Charlotte,NC,35.26002,-80.804151
28244,Charlotte,NC,35.26002,-80.804151
28201,Charlotte,NC,35.26002,-80.804151
28284,Charlotte,NC,35.26002,-80.804151
28241,Charlotte,NC,35.26002,-80.804151
28289,Charlotte,NC,35.26002,-80.804151
28236,Charlotte,NC,35.26002,-80.804151
28265,Charlotte,NC,35.26002,-80.804151
28288,Charlotte,NC,35.26002,-80.804151
28281,Charlotte,NC,35.26002,-80.804151
28211,Charlotte,NC,35.170094,-80.79857
28247,Charlotte,NC,35.065595,-80.851149
28254,Charlotte,NC,35.26002,-80.804151
28272,Charlotte,NC,35.26002,-80.804151
28216,Charlotte,NC,35.286967,-80.87903
28253,Charlotte,NC,35.26002,-80.804151
28212,Charlotte,NC,35.189544,-80.74742
28299,Charlotte,NC,35.26002,-80.804151
28224,Charlotte,NC,35.26002,-80.804151
